Name,Año,Proyectado ZIPs,Steamer,Real
Jose Abreu,2023,0.801557865,0.79239408,0.679629629
Joey Gallo,2023,0.755830133,0.722957196,0.740921131
Hunter Renfroe,2023,0.803757165,0.783143532,0.713107905
Seiya Suzuki,2023,0.839676429,0.812758332,0.842212193
Riley Greene,2023,0.729217176,0.720765823,0.795647639
Gavin Lux,2023,0.729001959,0.740753163,NA
Adolis Garcia,2023,0.750189215,0.70427822,0.835639753
Andrew Vaughn,2023,0.817691015,0.779622172,0.743149759
David Villar,2023,0.743854194,0.707112591,NA
Kolten Wong,2023,0.717403421,0.712075896,0.519392857
Jordan Westburg,2023,0.70213935,0.689474267,NA
Cody Bellinger,2023,0.714150828,0.719255077,0.881165207
Rhys Hoskins,2023,0.80266943,0.778364647,NA
Miguel Rojas,2023,0.676337202,0.679867898,0.611864145
Dylan Carlson,2023,0.738962563,0.743039959,0.650980391
Austin Meadows,2023,0.818454401,0.765125494,NA
Jeimer Candelario,2023,0.743746958,0.720809841,0.806939301
Eugenio Suarez,2023,0.714175484,0.712684428,0.714070917
James Outman,2023,0.725964929,0.700209363,0.789586688
Spencer Steer,2023,0.756224387,0.713834758,0.820308502
Anthony Rendon,2023,0.818635423,0.783131811,NA
Keibert Ruiz,2023,0.734635816,0.750081362,0.717007001
Adam Frazier,2023,0.689373831,0.693157726,0.695631067
Brandon Crawford,2023,0.722092268,0.70657564,0.587214904
Starling Marte,2023,0.741906874,0.744000882,0.624694478
Josh Donaldson,2023,0.727315408,0.714465942,NA
Taylor Ward,2023,0.799273805,0.785321736,0.756311639
Kris Bryant,2023,0.872084643,0.811760916,0.680099501
Tim Anderson,2023,0.755247473,0.743964149,0.582405585
Gio Urshela,2023,0.775769492,0.71626026,NA
Tyler O'Neill,2023,0.778798023,0.757243759,0.715391419
Paul DeJong,2023,0.686296948,0.659137376,0.612338709
Teoscar Hernandez,2023,0.769496939,0.759161909,0.740509734
Yainer Diaz,2023,0.734044583,0.709975188,0.845720476
Jorge Mateo,2023,0.669450996,0.633069921,0.607064501
Santiago Espinal,2023,0.702168415,0.714066875,0.644306417
Nathaniel Lowe,2023,0.799220118,0.808968947,0.774622437
Addison Barger,2023,0.727174997,0.70131918,NA
Christian Yelich,2023,0.758619758,0.773303225,0.817525891
Christian Vazquez,2023,0.676601547,0.678322239,0.597703829
Oswald Peraza,2023,0.685523576,0.681325956,NA
Luis Arraez,2023,0.782518036,0.764023497,0.861498256
Joey Meneses,2023,0.775952805,0.757408984,0.722138769
Danny Jansen,2023,0.75861806,0.766425855,0.786172955
Shea Langeliers,2023,0.686687235,0.684258985,0.680840088
Thairo Estrada,2023,0.741123083,0.72380442,0.731255955
Alec Burleson,2023,0.740007815,0.736497327,0.690767735
Bo Naylor,2023,0.666457023,0.67061563,NA
Nick Ahmed,2023,0.686197816,0.648455374,NA
MJ Melendez,2023,0.779181281,0.758526007,0.713363209
Austin Hays,2023,0.740839187,0.724907235,0.769319108
Josh Smith,2023,0.701635885,0.677565417,NA
Brendan Rodgers,2023,0.785847093,0.771142226,NA
Andy Pages,2023,0.730368245,0.683584967,NA
Rowdy Tellez,2023,0.806176867,0.812334147,0.666804077
Myles Straw,2023,0.634907894,0.654393831,0.597318046
Vaughn Grissom,2023,0.697625836,0.730990876,NA
Patrick Wisdom,2023,0.743758582,0.690332299,0.789036544
Carson Kelly,2023,0.734511612,0.702401857,NA
Vinnie Pasquantino,2023,0.826117596,0.836596674,0.761553761
Jorbit Vivas,2023,0.69200035,0.610889071,NA
Ezequiel Tovar,2023,0.75668497,0.756241024,0.695029944
Lars Nootbaar,2023,0.767696507,0.776271235,0.784374239
Matt McLain,2023,0.74013938,0.643419674,0.864169414
Wilmer Flores,2023,0.761232735,0.736852494,0.863267525
Jacob Stallings,2023,0.652192903,0.649583984,0.564695331
