playerID,full_name,teamID,age,OPS,primary_position
keplema01,Max Kepler,MIN,30.0,0.815993824921649,OF
kiermke01,Kevin Kiermaier,TOR,33.0,0.739997350291468,OF
kimha01,Ha-Seong Kim,SDN,28.0,0.746012328230222,2B
kineris01,Isiah Kiner-Falefa,NYA,28.0,0.6451999388202505,OF
laurera01,Ramon Laureano,CLE,29.0,0.6756465812786265,OF
lemahdj01,DJ LeMahieu,NYA,35.0,0.7177441875452,3B
lindofr01,Francisco Lindor,NYN,30.0,0.8063442092588026,SS
lopezni01,Nicky Lopez,ATL,28.0,0.6272773536895674,2B
lowebr01,Brandon Lowe,TBA,29.0,0.7709524736573139,2B
lowena01,Nathaniel Lowe,TEX,28.0,0.7746224382111153,1B
machama01,Manny Machado,SDN,31.0,0.7817143312404433,3B
maldoma01,Martin Maldonado,HOU,37.0,0.5986805489567921,C
mancitr01,Trey Mancini,CHN,31.0,0.6350207874786011,1B
margoma01,Manuel Margot,TBA,29.0,0.68572959730516,OF
marshbr02,Brandon Marsh,PHI,26.0,0.8286835039436147,OF
marteke01,Ketel Marte,ARI,30.0,0.8435230498850885,2B
martest01,Starling Marte,NYN,35.0,0.6229297584136294,OF
martijd02,J. D. Martinez,LAN,36.0,0.8925139762403913,OF
mccorch01,Chas McCormick,HOU,28.0,0.8411313398960749,OF
mccutan01,Andrew McCutchen,PIT,37.0,0.7758714154062991,OF
mcmahry01,Ryan McMahon,COL,29.0,0.7527996896417949,3B
mcneije01,Jeff McNeil,NYN,31.0,0.7095679012345679,2B
merriwh01,Whit Merrifield,TOR,34.0,0.699651662631553,OF
moncayo01,Yoan Moncada,CHA,28.0,0.7304718294503431,3B
mountry01,Ryan Mountcastle,BAL,26.0,0.7791962174940898,1B
moustmi01,Mike Moustakas,LAA,35.0,0.6847915685350918,3B
mullice01,Cedric Mullins,BAL,29.0,0.7191382874551191,OF
muncyma01,Max Muncy,LAN,33.0,0.8084370677731674,3B
murphse01,Sean Murphy,ATL,29.0,0.8436751820313464,C
naylojo01,Josh Naylor,CLE,26.0,0.8424734066326987,1B
newmake01,Kevin Newman,CIN,30.0,0.6727448397013615,3B
nimmobr01,Brandon Nimmo,NYN,30.0,0.8283863041927558,OF
